"Марка";"Номер";"Модель";"Цоколь";"Цветовая температура";"Потребляемая мощность";"Выдаваемая мощность";"Тип лампы";"Страна производства";"Описание";"Подробное описание";"Частота звучания";"Уровень громкости";"";"Объем, л";"Срок годности";"Тип двигателя";"Область действия";"Состав";"Цвет";"Температура начала кристализации";"Органический/Неорганический/Гибридный";"Тип трансмиссии (МКПП)";"Тип трансмиссии (АКПП/Вариатор)";"ГУР";"Вид масла (минеральное/синтетическое/полусинтетическое)";"Вязкость";"Для бензинового двигателя";"Для дизельного двигателя";"Для легковых автомобилей";"Для грузовых автомобилей";"Для мототехники";"Для спецтехники";"Для водной техники";"Перепускной клапан";"Высота, мм";"Внешний диаметр, мм";"Резьба (винтовой диаметр)"
"IDEMITSU";"30015026-746";"IDEMITSU Extreme 10W-40 SN/CF S-S";;;;;;;"Моторное масло";"Полусинтетическое моторное масло, соответствующее новейшей классификации API SN. Высокая термоокислительная стабильность. Широкий температурный диапазон применения: сохраняет текучесть при низких температурах, что обеспечивает легкий пуск двигателя в зимний период эксплуатации, сохраняет превосходные смазывающие свойства при высоких рабочих температурах в условиях жаркого климата. Превосходно защищает двигатель от отложений, коррозии и износа. API SN/CF";;;;"4л";;;;;;;;;;;"Полусинтетическое";;"Да";Да;"Да";;;;;;;;
"IDEMITSU";"30015026-520";"IDEMITSU Extreme 10W-40 SN/CF S-S";;;;;;;"Моторное масло";"Полусинтетическое моторное масло, соответствующее новейшей классификации API SN. Высокая термоокислительная стабильность. Широкий температурный диапазон применения: сохраняет текучесть при низких температурах, что обеспечивает легкий пуск двигателя в зимний период эксплуатации, сохраняет превосходные смазывающие свойства при высоких рабочих температурах в условиях жаркого климата. Превосходно защищает двигатель от отложений, коррозии и износа. API SN/CF";;;;"20л";;;;;;;;;;;"Полусинтетическое";;"Да";Да;"Да";;;;;;;;
"IDEMITSU";"30015026-200";"IDEMITSU Extreme 10W-40 SN/CF S-S";;;;;;;"Моторное масло";"Полусинтетическое моторное масло, соответствующее новейшей классификации API SN. Высокая термоокислительная стабильность. Широкий температурный диапазон применения: сохраняет текучесть при низких температурах, что обеспечивает легкий пуск двигателя в зимний период эксплуатации, сохраняет превосходные смазывающие свойства при высоких рабочих температурах в условиях жаркого климата. Превосходно защищает двигатель от отложений, коррозии и износа. API SN/CF";;;;"200л";;;;;;;;;;;"Полусинтетическое";;"Да";Да;"Да";;;;;;;;
"IDEMITSU";"30065005-724";"IDEMITSU Extreme 10W-30 SM/CF";;;;;;;"Моторное масло";"Высококачественное моторное масло для бензиновых и дизельных двигателей произведено на основе базового масла высокой степени очистки, содержащее антифрикционные, антиокислительные и моющее диспергирующие присадки, а также ингибитор коррозии. Масло Idemitsu Extreme Eco 10W-30 специально разработано с целью повышения топливной экономичности. Обеспечивает уверенный пуск двигателя в зимний период эксплуатации. Увеличивает срок службы двигателя за счет уменьшения трения. Имеет отличную термическую стойкость. API SM/CF";;;;"1л";;;;;;;;;;;"Полусинтетическое";;"Да";Да;"Да";;;;;;;;
"IDEMITSU";"30065005-746";"IDEMITSU Extreme 10W-30 SM/CF";;;;;;;"Моторное масло";"Высококачественное моторное масло для бензиновых и дизельных двигателей произведено на основе базового масла высокой степени очистки, содержащее антифрикционные, антиокислительные и моющее диспергирующие присадки, а также ингибитор коррозии. Масло Idemitsu Extreme Eco 10W-30 специально разработано с целью повышения топливной экономичности. Обеспечивает уверенный пуск двигателя в зимний период эксплуатации. Увеличивает срок службы двигателя за счет уменьшения трения. Имеет отличную термическую стойкость. API SM/CF";;;;"4л";;;;;;;;;;;"Полусинтетическое";;"Да";Да;"Да";;;;;;;;
"IDEMITSU";"30065005-200";"IDEMITSU Extreme 10W-30 SM/CF";;;;;;;"Моторное масло";"Высококачественное моторное масло для бензиновых и дизельных двигателей произведено на основе базового масла высокой степени очистки, содержащее антифрикционные, антиокислительные и моющее диспергирующие присадки, а также ингибитор коррозии. Масло Idemitsu Extreme Eco 10W-30 специально разработано с целью повышения топливной экономичности. Обеспечивает уверенный пуск двигателя в зимний период эксплуатации. Увеличивает срок службы двигателя за счет уменьшения трения. Имеет отличную термическую стойкость. API SM/CF";;;;"200л";;;;;;;;;;;"Полусинтетическое";;"Да";Да;"Да";;;;;;;;
"IDEMITSU";"30180156-756";"IDEMITSU Diesel Clean 15W-40 CI-4/DH-1";;;;;;;"Моторное масло";"Для всех типов мощных, высоко оборотистых дизельных двигателей, в том числе с турбонаддувом, оснащенных системои? впрыска с общеи? топливнои? рампои? и системои? рециркуляции отработавших газов (EGR) и не имеющих сажевых фильтров (DPF), которые могут быть установлены на дорожной, внедорожной, строительной, добывающей технике, а также на электросиловых установках и для которых регламентировано применение топлива с содержанием серы не менее 0,035% (Евро3). Характеризуется отличной окислительной стабильностью при высоких температурах. Имеет высокие неи?трализующие свои?ства, препятствующие коррозии (Щелочное число 11,7) API CI-4, JASO DH-1 Соответствует Спецификациям: ACEA E7-08;"MB 228. 3";"MAN 3275";"Cummins CES 20076/77/78";"Mack EO-M Plus";"MTU Type 2";"Renault RLD-2";"Volvo VDS -3"";;;;"5л";;;;;;;;;;;"Минеральное";;;"Да";Да;"Да";;"Да";;;;;
"IDEMITSU";"30180156-520";"IDEMITSU Diesel Clean 15W-40 CI-4/DH-1";;;;;;;"Моторное масло";"Для всех типов мощных, высоко оборотистых дизельных двигателей, в том числе с турбонаддувом, оснащенных системои? впрыска с общеи? топливнои? рампои? и системои? рециркуляции отработавших газов (EGR) и не имеющих сажевых фильтров (DPF), которые могут быть установлены на дорожной, внедорожной, строительной, добывающей технике, а также на электросиловых установках и для которых регламентировано применение топлива с содержанием серы не менее 0,035% (Евро3). Характеризуется отличной окислительной стабильностью при высоких температурах. Имеет высокие неи?трализующие свои?ства, препятствующие коррозии (Щелочное число 11,7) API CI-4, JASO DH-1 Соответствует Спецификациям: ACEA E7-08;"MB 228. 3";"MAN 3275";"Cummins CES 20076/77/78";"Mack EO-M Plus";"MTU Type 2";"Renault RLD-2";"Volvo VDS -3"";;;;"20л";;;;;;;;;;;"Минеральное";;;"Да";Да;"Да";;"Да";;;;;
"IDEMITSU";"30180156-200";"IDEMITSU Diesel Clean 15W-40 CI-4/DH-1";;;;;;;"Моторное масло";"Для всех типов мощных, высоко оборотистых дизельных двигателей, в том числе с турбонаддувом, оснащенных системои? впрыска с общеи? топливнои? рампои? и системои? рециркуляции отработавших газов (EGR) и не имеющих сажевых фильтров (DPF), которые могут быть установлены на дорожной, внедорожной, строительной, добывающей технике, а также на электросиловых установках и для которых регламентировано применение топлива с содержанием серы не менее 0,035% (Евро3). Характеризуется отличной окислительной стабильностью при высоких температурах. Имеет высокие неи?трализующие свои?ства, препятствующие коррозии (Щелочное число 11,7) API CI-4, JASO DH-1 Соответствует Спецификациям: ACEA E7-08;"MB 228. 3";"MAN 3275";"Cummins CES 20076/77/78";"Mack EO-M Plus";"MTU Type 2";"Renault RLD-2";"Volvo VDS -3"";;;;"200л";;;;;;;;;;;"Минеральное";;;"Да";Да;"Да";;"Да";;;;;
"IDEMITSU";"30180230-200";"IDEMITSU Diesel Eco 5W-30 CJ-4/DH-2";;;;;;;"Моторное масло";"Моторное масло на основе полностью синтетического базового масла (VHVI) и высокоэффективного, малозольного пакета присадок уровня Low SAPS, специальная рецептура которого направлена на снижение расхода топлива и увеличение срока службы сажевого фильтра. Рекомендуется для всех типов современных дизельных двигателей, которые могут быть установлены на магистральных, средне и малотоннажных грузовиках и автобусах, соответствующих экологической категории Евро 5, оборудованных сажевым фильтром DPF, для которых регламентировано применение топлива с содержанием серы не более 0,005% (Евро 4). Широкий температурный диапазон применения: сохраняет текучесть при низких температурах, что обеспечивает легкий пуск двигателя в зимний период эксплуатации, сохраняет превосходные смазывающие свойства при высоких рабочих температурах в условиях жаркого климата. Превосходно защищает двигатель от отложений, коррозии и износа. API CJ-4, JASO DH-2";;;;"200л";;;;;;;;;;;"Синтетическое";;;"Да";;"Да";;"Да";;;;;
"IDEMITSU";"30175011-746";"IDEMITSU DIESEL 5W-30 CF/SG";;;;;;;"Моторное масло";"Универсальное, всесезонное моторное масло на основе синтетического (VHVI) базового масла и специального пакета присадок. Рекомендуется для бензиновых двигателеи? без наддува и форсированных дизельных двигателеи? легковых автомобилеи?, в том числе с турбонаддувом, не оборудованных сажевым фильтром. Оптимально подходит для смешанного парка внедорожной и строительной техники с бензиновыми двигателями, а также дизельными двигателями, где применяется топливо с содержанием серы не более 0.35% и имеющими турбонаддув. АРI CF/SG";;;;"4л";;;;;;;;;;;"Синтетическое";;"Да";Да;"Да";;;"Да";;;;;
"IDEMITSU";"30175011-520";"IDEMITSU DIESEL 5W-30 CF/SG";;;;;;;"Моторное масло";"Универсальное, всесезонное моторное масло на основе синтетического (VHVI) базового масла и специального пакета присадок. Рекомендуется для бензиновых двигателеи? без наддува и форсированных дизельных двигателеи? легковых автомобилеи?, в том числе с турбонаддувом, не оборудованных сажевым фильтром. Оптимально подходит для смешанного парка внедорожной и строительной техники с бензиновыми двигателями, а также дизельными двигателями, где применяется топливо с содержанием серы не более 0.35% и имеющими турбонаддув. АРI CF/SG";;;;"20л";;;;;;;;;;;"Синтетическое";;"Да";Да;"Да";;;"Да";;;;;
"IDEMITSU";"30175011-200";"IDEMITSU DIESEL 5W-30 CF/SG";;;;;;;"Моторное масло";"Универсальное, всесезонное моторное масло на основе синтетического (VHVI) базового масла и специального пакета присадок. Рекомендуется для бензиновых двигателеи? без наддува и форсированных дизельных двигателеи? легковых автомобилеи?, в том числе с турбонаддувом, не оборудованных сажевым фильтром. Оптимально подходит для смешанного парка внедорожной и строительной техники с бензиновыми двигателями, а также дизельными двигателями, где применяется топливо с содержанием серы не более 0.35% и имеющими турбонаддув. АРI CF/SG";;;;"200л";;;;;;;;;;;"Синтетическое";;"Да";Да;"Да";;;"Да";;;;;
"IDEMITSU";"30075017-724";"IDEMITSU RACING DIESEL 10W-30 CF4/SG";;;;;;;"Моторное масло";"Высококачественное универсальное моторное масло для мощных дизельных двигателей с турбонаддувом, использующих топливо с высоким содержанием серы до 0,5%, и форсированных бензиновых двигателей. Обеспечивает уверенный пуск двигателя в зимний период эксплуатации в регионах со значительными колебаниями суточных температур. Обладает высокими моющими, нейтрализующими и антикоррозионными характеристиками. Благодаря специальному загустителю, характеризуется низким расходом на угар в рамках класса вязкости SAE 10W-30. АР I CF-4/SG, MIL-L-2104E,CCMC D4/PD2/G4.";;;;"1л";;;;;;;;;;;"Минеральное";;"Да";Да;"Да";"Да;;"Да";;;;;
"IDEMITSU";"30075017-746";"IDEMITSU RACING DIESEL 10W-30 CF4/SG";;;;;;;"Моторное масло";"Высококачественное универсальное моторное масло для мощных дизельных двигателей с турбонаддувом, использующих топливо с высоким содержанием серы до 0,5%, и форсированных бензиновых двигателей. Обеспечивает уверенный пуск двигателя в зимний период эксплуатации в регионах со значительными колебаниями суточных температур. Обладает высокими моющими, нейтрализующими и антикоррозионными характеристиками. Благодаря специальному загустителю, характеризуется низким расходом на угар в рамках класса вязкости SAE 10W-30. АР I CF-4/SG, MIL-L-2104E,CCMC D4/PD2/G4.";;;;"4л";;;;;;;;;;;"Минеральное";;"Да";Да;"Да";"Да;;"Да";;;;;
"IDEMITSU";"30075017-520";"IDEMITSU RACING DIESEL 10W-30 CF4/SG";;;;;;;"Моторное масло";"Высококачественное универсальное моторное масло для мощных дизельных двигателей с турбонаддувом, использующих топливо с высоким содержанием серы до 0,5%, и форсированных бензиновых двигателей. Обеспечивает уверенный пуск двигателя в зимний период эксплуатации в регионах со значительными колебаниями суточных температур. Обладает высокими моющими, нейтрализующими и антикоррозионными характеристиками. Благодаря специальному загустителю, характеризуется низким расходом на угар в рамках класса вязкости SAE 10W-30. АР I CF-4/SG, MIL-L-2104E,CCMC D4/PD2/G4.";;;;"20л";;;;;;;;;;;"Минеральное";;"Да";Да;"Да";"Да;;"Да";;;;;
"IDEMITSU";"30175014-520";"IDEMITSU RACING DIESEL 10W-30 CF4/SG";;;;;;;"Моторное масло";"Высококачественное универсальное моторное масло для мощных дизельных двигателей с турбонаддувом, использующих топливо с высоким содержанием серы до 0,5%, и форсированных бензиновых двигателей. Обеспечивает уверенный пуск двигателя в зимний период эксплуатации в регионах со значительными колебаниями суточных температур. Обладает высокими моющими, нейтрализующими и антикоррозионными характеристиками. Благодаря специальному загустителю, характеризуется низким расходом на угар в рамках класса вязкости SAE 10W-30. АР I CF-4/SG, MIL-L-2104E,CCMC D4/PD2/G4.";;;;"20л";;;;;;;;;;;"Минеральное";;"Да";Да;"Да";"Да;;"Да";;;;;
"IDEMITSU";"30175014-200";"IDEMITSU RACING DIESEL 10W-30 CF4/SG";;;;;;;"Моторное масло";"Высококачественное универсальное моторное масло для мощных дизельных двигателей с турбонаддувом, использующих топливо с высоким содержанием серы до 0,5%, и форсированных бензиновых двигателей. Обеспечивает уверенный пуск двигателя в зимний период эксплуатации в регионах со значительными колебаниями суточных температур. Обладает высокими моющими, нейтрализующими и антикоррозионными характеристиками. Благодаря специальному загустителю, характеризуется низким расходом на угар в рамках класса вязкости SAE 10W-30. АР I CF-4/SG, MIL-L-2104E,CCMC D4/PD2/G4.";;;;"200л";;;;;;;;;;;"Минеральное";;"Да";Да;"Да";"Да;;"Да";;;;;
"IDEMITSU";"30075017-200";"IDEMITSU RACING DIESEL 10W-30 CF4/SG";;;;;;;"Моторное масло";"Высококачественное универсальное моторное масло для мощных дизельных двигателей с турбонаддувом, использующих топливо с высоким содержанием серы до 0,5%, и форсированных бензиновых двигателей. Обеспечивает уверенный пуск двигателя в зимний период эксплуатации в регионах со значительными колебаниями суточных температур. Обладает высокими моющими, нейтрализующими и антикоррозионными характеристиками. Благодаря специальному загустителю, характеризуется низким расходом на угар в рамках класса вязкости SAE 10W-30. АР I CF-4/SG, MIL-L-2104E,CCMC D4/PD2/G4.";;;;"200л";;;;;;;;;;;"Минеральное";;"Да";Да;"Да";"Да;;"Да";;;;;
"IDEMITSU";"FBA-0073-001";"IDEMITSU DIESEL 15W-40 CF4/SG";;;;;;;"Моторное масло";"Высококачественное универсальное моторное масло для мощных дизельных двигателей с турбонаддувом и форсированных бензиновых двигателей. Рекомендуется использовать в дизельных двигателях, работающих на топливе с содержанием серы не более 0,5%. Обладает отличными моющими и диспергирующими свойствами. Широкий температурный диапазон масла 15W-40 обеспечивает уверенный пуск двигателя при низких температурах, а также превосходную термическую стойкость при высокой температуре, что способствует снижению расхода масла на угар. АР I CF-4/SG, MIL-L-2104E, CCMC D4/PD2/G4";;;;"1л";;;;;;;;;;;"Минеральное";;"Да";Да;"Да";"Да;;"Да";;;;;
"IDEMITSU";"30175012-756";"IDEMITSU DIESEL 15W-40 CF4/SG";;;;;;;"Моторное масло";"Высококачественное универсальное моторное масло для мощных дизельных двигателей с турбонаддувом и форсированных бензиновых двигателей. Рекомендуется использовать в дизельных двигателях, работающих на топливе с содержанием серы не более 0,5%. Обладает отличными моющими и диспергирующими свойствами. Широкий температурный диапазон масла 15W-40 обеспечивает уверенный пуск двигателя при низких температурах, а также превосходную термическую стойкость при высокой температуре, что способствует снижению расхода масла на угар. АР I CF-4/SG, MIL-L-2104E, CCMC D4/PD2/G4";;;;"5л";;;;;;;;;;;"Минеральное";;"Да";Да;"Да";"Да;;"Да";;;;;
"IDEMITSU";"30175012-520";"IDEMITSU DIESEL 15W-40 CF4/SG";;;;;;;"Моторное масло";"Высококачественное универсальное моторное масло для мощных дизельных двигателей с турбонаддувом и форсированных бензиновых двигателей. Рекомендуется использовать в дизельных двигателях, работающих на топливе с содержанием серы не более 0,5%. Обладает отличными моющими и диспергирующими свойствами. Широкий температурный диапазон масла 15W-40 обеспечивает уверенный пуск двигателя при низких температурах, а также превосходную термическую стойкость при высокой температуре, что способствует снижению расхода масла на угар. АР I CF-4/SG, MIL-L-2104E, CCMC D4/PD2/G4";;;;"20л";;;;;;;;;;;"Минеральное";;"Да";Да;"Да";"Да;;"Да";;;;;
"IDEMITSU";"30075012-200";"IDEMITSU DIESEL 15W-40 CF4/SG";;;;;;;"Моторное масло";"Высококачественное универсальное моторное масло для мощных дизельных двигателей с турбонаддувом и форсированных бензиновых двигателей. Рекомендуется использовать в дизельных двигателях, работающих на топливе с содержанием серы не более 0,5%. Обладает отличными моющими и диспергирующими свойствами. Широкий температурный диапазон масла 15W-40 обеспечивает уверенный пуск двигателя при низких температурах, а также превосходную термическую стойкость при высокой температуре, что способствует снижению расхода масла на угар. АР I CF-4/SG, MIL-L-2104E, CCMC D4/PD2/G4";;;;"200л";;;;;;;;;;;"Минеральное";;"Да";Да;"Да";"Да;;"Да";;;;;
"IDEMITSU";"30175012-200";"IDEMITSU DIESEL 15W-40 CF4/SG";;;;;;;"Моторное масло";"Высококачественное универсальное моторное масло для мощных дизельных двигателей с турбонаддувом и форсированных бензиновых двигателей. Рекомендуется использовать в дизельных двигателях, работающих на топливе с содержанием серы не более 0,5%. Обладает отличными моющими и диспергирующими свойствами. Широкий температурный диапазон масла 15W-40 обеспечивает уверенный пуск двигателя при низких температурах, а также превосходную термическую стойкость при высокой температуре, что способствует снижению расхода масла на угар. АР I CF-4/SG, MIL-L-2104E, CCMC D4/PD2/G4";;;;"200л";;;;;;;;;;;"Минеральное";;"Да";Да;"Да";"Да;;"Да";;;;;
"IDEMITSU";"30095002-724";"IDEMITSU 4T MAX 10W40 SL/МА Fully-Synthetic";;;;;;;"Моторное масло";"Полностью синтетическое моторное масло для двигателей мотоциклов, специально разработанное с использованием улучшенных синтетических базовых масел. Прекрасно защищает двигатель от износа и, следовательно, увеличивает срок службы двигателя. Кроме того, специальная рецептура обеспечивает значительную экономию топлива. SAE 10W-40. API SL/MA";;;;"1л";;;;;;;;;;;"Синтетическое";;"Да";;;;"Да";;;;;;
"IDEMITSU";"30095003-724";"IDEMITSU 4T MAX 10W40 SJ/МА Semi-Synthetic";;;;;;;"Моторное масло";"Полусинтетическое моторное масло для двигателей мотоциклов. Прекрасно защищает двигатель от износа и, следовательно, увеличивает срок службы двигателя. Специальная рецептура обеспечивает значительную экономию топлива. SAE 10W-40. API SJ/MA";;;;"1л";;;;;;;;;;;"Полусинтетическое";;"Да";;;;"Да";;;;;;
"IDEMITSU";"30095004-724";"IDEMITSU 4T MAX 10W30 SJ/МА ECO Mineral";;;;;;;"Моторное масло";"Моторное масло на минеральной основе. Характеризуется высоким коэффициентом трения, что обеспечивает стабильную, без рывков, передачу крутящего момента сцеплением, как в момент начала движения, так и при переключении передач. SAE 10W-30. API SJ/MA";;;;"1л";;;;;;;;;;;"Минеральное";;"Да";;;;"Да";;;;;;
"IDEMITSU";"30021328-724";"IDEMITSU FULLY-SYNTHETIC SN/GF-5 0W20 Новая упаковка";;;;;;;"Моторное масло";"Полностью синтетическое экологичное высококачественное моторное масло для бензиновых двигателей. Рекомендовано к применению в современных бензиновых двигателях характеризующихся высокой топливной экономичностью, в техническом руководстве по эксплуатации которых указана рекомендуемая вязкость моторного масла по SAE 0W-20 или 5W-20. На основе базовых масел наивысшеи? степени очистки (VHVI). Благодаря применению технологии гидрогенизационного риформинга, масло в максимально возможнои? степени очищено от нежелательных примесеи?, таких как сера, азот, хлор. Таким образом, получаются наивысшие физико-механические характеристики, а именно устои?чивость к окислению, испаряемость, стабильность вязкости и высокое сопротивление маслянои? пленки на сдвиг. API SN, ILSAC GF-5";;;;"1л";;;;;;;;;;;"Синтетическое";;"Да";;"Да";;;;;;;;
"IDEMITSU";"30021328-746";"IDEMITSU FULLY-SYNTHETIC SN/GF-5 0W20 Новая упаковка";;;;;;;"Моторное масло";"Полностью синтетическое экологичное высококачественное моторное масло для бензиновых двигателей. Рекомендовано к применению в современных бензиновых двигателях характеризующихся высокой топливной экономичностью, в техническом руководстве по эксплуатации которых указана рекомендуемая вязкость моторного масла по SAE 0W-20 или 5W-20. На основе базовых масел наивысшеи? степени очистки (VHVI). Благодаря применению технологии гидрогенизационного риформинга, масло в максимально возможнои? степени очищено от нежелательных примесеи?, таких как сера, азот, хлор. Таким образом, получаются наивысшие физико-механические характеристики, а именно устои?чивость к окислению, испаряемость, стабильность вязкости и высокое сопротивление маслянои? пленки на сдвиг. API SN, ILSAC GF-5";;;;"4л";;;;;;;;;;;"Синтетическое";;"Да";;"Да";;;;;;;;
"IDEMITSU";"30021328-520";"IDEMITSU FULLY-SYNTHETIC SN/GF-5 0W20 Новая упаковка";;;;;;;"Моторное масло";"Полностью синтетическое экологичное высококачественное моторное масло для бензиновых двигателей. Рекомендовано к применению в современных бензиновых двигателях характеризующихся высокой топливной экономичностью, в техническом руководстве по эксплуатации которых указана рекомендуемая вязкость моторного масла по SAE 0W-20 или 5W-20. На основе базовых масел наивысшеи? степени очистки (VHVI). Благодаря применению технологии гидрогенизационного риформинга, масло в максимально возможнои? степени очищено от нежелательных примесеи?, таких как сера, азот, хлор. Таким образом, получаются наивысшие физико-механические характеристики, а именно устои?чивость к окислению, испаряемость, стабильность вязкости и высокое сопротивление маслянои? пленки на сдвиг. API SN, ILSAC GF-5";;;;"20л";;;;;;;;;;;"Синтетическое";;"Да";;"Да";;;;;;;;
"IDEMITSU";"30021328-200";"IDEMITSU FULLY-SYNTHETIC SN/GF-5 0W20 Новая упаковка";;;;;;;"Моторное масло";"Полностью синтетическое экологичное высококачественное моторное масло для бензиновых двигателей. Рекомендовано к применению в современных бензиновых двигателях характеризующихся высокой топливной экономичностью, в техническом руководстве по эксплуатации которых указана рекомендуемая вязкость моторного масла по SAE 0W-20 или 5W-20. На основе базовых масел наивысшеи? степени очистки (VHVI). Благодаря применению технологии гидрогенизационного риформинга, масло в максимально возможнои? степени очищено от нежелательных примесеи?, таких как сера, азот, хлор. Таким образом, получаются наивысшие физико-механические характеристики, а именно устои?чивость к окислению, испаряемость, стабильность вязкости и высокое сопротивление маслянои? пленки на сдвиг. API SN, ILSAC GF-5";;;;"200л";;;;;;;;;;;"Синтетическое";;"Да";;"Да";;;;;;;;
"IDEMITSU";"30021326-724";"IDEMITSU FULLY-SYNTHETIC SN/GF-5 5W30 Новая упаковка";;;;;;;"Моторное масло";"Полностью синтетическое моторное масло, соответствующее новейшей классификации API SN. Сохраняет текучесть при низких температурах, что обеспечивает легкий пуск двигателя в зимний период эксплуатации. Сохраняет превосходные смазывающие свойства при высоких нагрузках. Имеет отличную термическую стойкость. Превосходно обеспечивает чистоту двигателя, снижает износ двигателя, что увеличивает срок его службы. API SN, ILSAC GF-5";;;;"1л";;;;;;;;;;;"Синтетическое";;"Да";;"Да";;;;;;;;
"IDEMITSU";"30021326-746";"IDEMITSU FULLY-SYNTHETIC SN/GF-5 5W30 Новая упаковка";;;;;;;"Моторное масло";"Полностью синтетическое моторное масло, соответствующее новейшей классификации API SN. Сохраняет текучесть при низких температурах, что обеспечивает легкий пуск двигателя в зимний период эксплуатации. Сохраняет превосходные смазывающие свойства при высоких нагрузках. Имеет отличную термическую стойкость. Превосходно обеспечивает чистоту двигателя, снижает износ двигателя, что увеличивает срок его службы. API SN, ILSAC GF-5";;;;"4л";;;;;;;;;;;"Синтетическое";;"Да";;"Да";;;;;;;;
"IDEMITSU";"30021326-520";"IDEMITSU FULLY-SYNTHETIC SN/GF-5 5W30 Новая упаковка";;;;;;;"Моторное масло";"Полностью синтетическое моторное масло, соответствующее новейшей классификации API SN. Сохраняет текучесть при низких температурах, что обеспечивает легкий пуск двигателя в зимний период эксплуатации. Сохраняет превосходные смазывающие свойства при высоких нагрузках. Имеет отличную термическую стойкость. Превосходно обеспечивает чистоту двигателя, снижает износ двигателя, что увеличивает срок его службы. API SN, ILSAC GF-5";;;;"20л";;;;;;;;;;;"Синтетическое";;"Да";;"Да";;;;;;;;
"IDEMITSU";"30021326-200";"IDEMITSU FULLY-SYNTHETIC SN/GF-5 5W30 Новая упаковка";;;;;;;"Моторное масло";"Полностью синтетическое моторное масло, соответствующее новейшей классификации API SN. Сохраняет текучесть при низких температурах, что обеспечивает легкий пуск двигателя в зимний период эксплуатации. Сохраняет превосходные смазывающие свойства при высоких нагрузках. Имеет отличную термическую стойкость. Превосходно обеспечивает чистоту двигателя, снижает износ двигателя, что увеличивает срок его службы. API SN, ILSAC GF-5";;;;"200л";;;;;;;;;;;"Синтетическое";;"Да";;"Да";;;;;;;;
"IDEMITSU";"30015046-724";"IDEMITSU FULLY-SYNTHETIC SN/CF 5W40 Новая упаковка";;;;;;;"Моторное масло";"Полностью синтетическое моторное масло, соответствующее новейшей классификации API SN. Сохраняет текучесть при низких температурах, что обеспечивает легкий пуск двигателя в зимний период эксплуатации. Сохраняет превосходные смазывающие свойства при высоких нагрузках. Имеет отличную термическую стойкость. Превосходно поддерживает двигатель в чистоте. API SN/CF";;;;"1л";;;;;;;;;;;"Синтетическое";;"Да";Да;"Да";;;;;;;;
"IDEMITSU";"30015046-746";"IDEMITSU FULLY-SYNTHETIC SN/CF 5W40 Новая упаковка";;;;;;;"Моторное масло";"Полностью синтетическое моторное масло, соответствующее новейшей классификации API SN. Сохраняет текучесть при низких температурах, что обеспечивает легкий пуск двигателя в зимний период эксплуатации. Сохраняет превосходные смазывающие свойства при высоких нагрузках. Имеет отличную термическую стойкость. Превосходно поддерживает двигатель в чистоте. API SN/CF";;;;"4л";;;;;;;;;;;"Синтетическое";;"Да";Да;"Да";;;;;;;;
"IDEMITSU";"30015046-520";"IDEMITSU FULLY-SYNTHETIC SN/CF 5W40 Новая упаковка";;;;;;;"Моторное масло";"Полностью синтетическое моторное масло, соответствующее новейшей классификации API SN. Сохраняет текучесть при низких температурах, что обеспечивает легкий пуск двигателя в зимний период эксплуатации. Сохраняет превосходные смазывающие свойства при высоких нагрузках. Имеет отличную термическую стойкость. Превосходно поддерживает двигатель в чистоте. API SN/CF";;;;"20л";;;;;;;;;;;"Синтетическое";;"Да";Да;"Да";;;;;;;;
"IDEMITSU";"30015046-200";"IDEMITSU FULLY-SYNTHETIC SN/CF 5W40 Новая упаковка";;;;;;;"Моторное масло";"Полностью синтетическое моторное масло, соответствующее новейшей классификации API SN. Сохраняет текучесть при низких температурах, что обеспечивает легкий пуск двигателя в зимний период эксплуатации. Сохраняет превосходные смазывающие свойства при высоких нагрузках. Имеет отличную термическую стойкость. Превосходно поддерживает двигатель в чистоте. API SN/CF";;;;"200л";;;;;;;;;;;"Синтетическое";;"Да";Да;"Да";;;;;;;;
